geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
04000US01,Alabama,2051545,10192,130957,6403,99280,6615,88738,4560,96281,6033,87984,5009,93707,5782,82870,5334,81448,4143,70579,4054,154101,7026,199937,8802,270411,10299,195801,6988,124823,5763,137002,6351,137626,5812
04000US02,Alaska,276852,3294,11341,1741,6928,1332,7972,1355,7731,1102,7756,1383,7191,1388,10667,1581,9878,1457,8693,1600,14889,2031,27095,3198,36700,2915,29780,3014,23992,2305,28927,2681,37312,3126
04000US04,Arizona,2907014,12227,160451,8420,85283,6623,74364,5234,97012,6055,92637,6262,101807,6413,96428,5627,113458,6871,104013,6964,205306,9623,278712,9256,391588,11630,309574,10311,214816,7562,266367,8704,315198,11443
04000US05,Arkansas,1232871,8404,78121,5109,64077,4788,51620,4028,59894,4380,50559,4056,64685,4502,58767,3903,50416,4131,48343,4074,101092,4451,123797,5655,154382,6352,113988,5865,65990,4519,69636,4295,77504,4100
04000US06,California,13699816,20966,657876,14290,407387,10855,311130,11128,394890,12164,349250,11452,385748,12516,373038,11139,391914,11749,356847,10038,737552,14789,1115488,21997,1630978,21745,1402119,20874,1038320,17819,1535002,20150,2612277,26234
04000US08,Colorado,2428261,9051,101407,5916,60789,5047,52731,3964,66734,5070,59722,4538,64101,5007,63602,5012,76004,4504,66081,4356,149932,8388,216736,8617,315738,10131,263810,9325,199185,8176,286101,8985,385588,9436
04000US09,Connecticut,1442969,7955,70589,5951,45746,4748,38061,3902,42753,4037,39947,4437,41390,3695,37830,3898,47641,4487,36567,3498,80152,4867,120210,6162,175133,7401,144760,7159,111465,5330,158263,6505,252462,6910
04000US10,Delaware,412048,3896,16468,2705,11975,2207,11074,1449,10246,1606,13256,2141,13509,1917,14933,2448,15937,1819,15622,2525,28512,3128,38682,3848,55605,4097,44974,3581,29724,2604,43294,3953,48237,3445
04000US11,District of Columbia,334673,3520,26386,3383,9776,1928,9691,2725,6239,1940,3009,1246,7377,1742,4038,1001,7536,1771,7947,2361,15556,2815,25667,4268,34061,3569,27535,3269,22489,2867,40721,4858,86645,4031
04000US12,Florida,8966402,20449,484044,13990,292487,10666,265183,11248,311761,11473,312447,10753,347002,11684,328439,11377,348511,12537,323580,11334,646736,15886,913369,18424,1182775,18890,919812,19340,620350,14991,721731,14031,948175,17443
04000US13,Georgia,4150138,14424,245347,10482,147357,7641,126221,6773,154621,7836,130172,6108,156178,8716,149191,6082,159789,7634,134889,6914,282225,10102,396921,11367,526772,14747,425535,12303,302052,9984,355709,9956,457159,10742
04000US15,Hawaii,493898,5757,22525,2708,14137,1658,10151,1536,14422,2381,11366,1869,14109,2001,11868,1908,12936,1952,12835,1854,25881,2601,44035,3558,61829,3690,52604,3876,45025,3397,56111,3367,84064,3589
04000US16,Idaho,733244,4856,28242,2884,19521,2068,20811,2255,23724,2874,24493,2767,29124,2968,27726,2585,30859,2710,25743,2455,56371,3935,80280,3991,104076,5015,82679,4607,54132,3641,62179,3881,63284,3502
04000US17,Illinois,5071288,14337,285290,10327,174777,8397,141900,6695,158301,6960,150976,6587,178839,7344,161657,7405,183388,8393,163492,7096,321674,10749,473375,12538,631358,14077,544123,12564,374573,11076,488431,9952,639134,15467
04000US18,Indiana,2754881,9894,144064,6612,97237,6041,87028,5608,106372,5130,102439,5266,113975,6517,109490,5810,112525,5576,100187,5918,217400,9502,296912,9661,374270,9592,280570,8557,190750,7320,213577,7417,208085,7437
04000US19,Iowa,1337243,6646,56624,3982,44300,2968,42629,3511,47847,3523,48766,3149,58292,4045,53163,3688,58083,3646,51466,3629,99048,4714,138790,5300,188967,6970,140664,5023,97626,4667,110743,3986,100235,5159
04000US20,Kansas,1188340,5857,54323,4557,38137,3609,37858,3814,45891,3586,44714,3761,52305,3581,45495,3511,51326,3666,47639,3343,89319,5161,123248,5517,161598,5486,122232,5704,82454,4049,94570,4344,97231,4633
04000US21,Kentucky,1853603,7950,125182,5974,95991,5129,80070,5154,84356,4981,75021,5283,79077,5358,79030,4901,82498,5047,75125,4379,131528,5860,186183,7490,232750,7381,177559,6831,110193,4922,118773,5226,120267,5354
04000US22,Louisiana,1833915,8374,140781,6295,112663,5745,79454,5354,89575,5573,78697,4432,82225,5480,75939,5155,80057,5489,71123,5304,123653,6584,169943,7111,219220,9255,157483,6944,101089,5101,124320,6632,127693,5522
04000US23,Maine,616085,5376,26910,3055,22021,2294,20777,2168,22503,2155,20775,2342,22156,2335,23214,2389,25408,2599,21093,2380,47807,3728,59685,3810,82657,4817,70621,3938,48754,4164,47426,3281,54278,3602
04000US24,Maryland,2384715,7944,120905,6787,59156,4360,52689,4376,49372,4481,57636,4884,59292,5125,63007,4806,65645,5367,61117,5038,130819,7334,200745,7464,284039,10031,262177,8414,193313,6952,279906,9256,444897,9655
04000US25,Massachusetts,2800984,8760,132074,7709,97928,6615,80773,5223,82336,5377,69015,5103,73822,4709,66063,4658,74069,5466,67537,5023,138626,6879,214738,9041,305039,9815,277305,9866,217811,8870,311976,8610,591872,12149
04000US26,Michigan,4107809,11889,237133,6781,161732,7778,138843,5313,154887,6283,139029,6199,160745,7183,155646,5582,175894,7550,151534,6585,302298,7872,426505,11048,539089,10972,409743,9188,278710,7468,324307,9126,351714,8204
04000US27,Minnesota,2344432,8041,88850,4707,68531,3521,63125,4414,65718,5040,60321,4220,75399,5015,77267,4078,75972,4684,73970,4527,163431,7434,215994,6972,328773,7988,261147,7708,193232,5900,244114,7060,288588,8524
04000US28,Mississippi,1166617,7610,86871,4974,74192,5817,57442,4397,62656,4370,52021,3951,55384,4361,46551,3781,54931,4786,50018,4451,89710,5346,106573,5931,142685,6838,96929,4660,64820,4580,61680,4600,64154,3998
04000US29,Missouri,2556271,10804,126230,5600,93050,4917,86423,5281,98201,5235,96777,5374,107631,5634,106407,5637,112261,5336,97249,4318,189837,5971,268060,9567,335242,9794,267242,8530,174319,7209,190186,7589,207156,7041
04000US30,Montana,472867,4532,22209,2450,16837,2013,16111,1867,19636,1848,17419,1705,20951,2235,17150,2122,19912,2150,16245,2078,35615,3501,49962,3695,63863,3611,51510,4534,32605,2422,34802,2729,38040,2851
04000US31,Nebraska,813864,4244,36888,3477,25766,2425,24943,2949,27741,2592,24652,2308,30193,2590,31721,3115,32477,2697,26662,2567,61927,3317,85842,5015,113572,4602,90619,4404,58168,3158,67485,3360,75208,4070
04000US32,Nevada,1224685,6784,67036,5008,30606,3160,32318,3847,41173,3777,41772,4214,46574,4095,43012,4015,44525,3962,41991,3948,86178,5637,127170,6310,167396,8111,134092,7015,88269,4057,107413,5843,125160,6595
04000US33,New Hampshire,569493,5108,19930,2922,13478,2410,14743,2336,12829,2158,18506,2090,15258,2183,12280,1845,17401,2148,15083,2002,33513,2695,47222,3433,73912,4774,64714,3912,50148,3189,71283,4337,89193,4151
