geoid,name,B08302001,"B08302001, Error",B08302002,"B08302002, Error",B08302003,"B08302003, Error",B08302004,"B08302004, Error",B08302005,"B08302005, Error",B08302006,"B08302006, Error",B08302007,"B08302007, Error",B08302008,"B08302008, Error",B08302009,"B08302009, Error",B08302010,"B08302010, Error",B08302011,"B08302011, Error",B08302012,"B08302012, Error",B08302013,"B08302013, Error",B08302014,"B08302014, Error",B08302015,"B08302015, Error"
04000US01,Alabama,2071583,16371,141224,5991,109953,5618,123273,6690,210442,7644,236823,8784,348724,10612,237125,8086,180858,8588,71907,5050,93143,5292,46349,4144,18641,2888,124574,7263,128547,8056
04000US02,Alaska,327931,5011,15626,2230,10780,1910,18117,2400,25473,3725,28425,2733,39501,4203,56022,4196,39621,4810,23294,2734,24093,2732,9997,1632,4224,937,15813,2382,16945,2437
04000US04,Arizona,2857204,22671,254216,11989,164138,9196,165448,8507,253102,10799,266694,10154,376888,12578,294606,11704,284466,11170,128155,7450,163798,8012,94012,6129,41635,4596,186869,8644,183177,9769
04000US05,Arkansas,1242629,14634,67681,4224,50242,4041,62934,4574,119577,5845,135796,5799,226650,8751,171130,6864,115137,5891,41337,3606,59581,5349,29443,2994,13674,2312,68084,4856,81363,5995
04000US06,California,15937869,55963,1058737,18464,721575,16674,719417,17145,1308765,21837,1138979,22820,2065402,25285,1638712,25367,2065089,29518,952662,17397,1421881,25355,639031,13135,285872,10341,1053029,20984,868718,17794
04000US08,Colorado,2522855,17459,113498,7260,89872,6447,127560,8116,203364,8514,262441,9975,386339,11199,319453,12030,307210,12032,140789,7070,175248,6919,77322,4961,33959,3774,160217,7612,125583,7431
04000US09,Connecticut,1584717,14142,62452,5321,49071,4210,63291,5150,123146,6073,161602,7583,229423,9742,199778,7910,200619,8267,109246,5723,119415,6515,45894,4039,27398,3411,108443,6563,84939,5473
04000US10,Delaware,431706,8624,20728,3011,14164,2209,18350,3050,38397,3674,38610,3614,68706,5193,52494,4655,51154,4652,24134,3041,28137,3392,10556,1924,3625,1100,32788,3816,29863,3495
04000US11,District of Columbia,278932,9240,4679,1605,4887,1369,4933,2040,12799,2657,10721,2335,28387,3480,31121,4531,54909,4287,46749,4258,38856,3976,8084,1521,5249,1654,14864,2406,12694,3375
04000US12,Florida,8944682,43730,424147,14080,333409,14603,366175,14973,802436,18611,826097,18809,1365423,30625,926758,18064,1130851,22683,502002,16749,701181,15708,321256,11718,135916,7522,584979,16391,524052,16439
04000US13,Georgia,4484489,28752,238964,9713,188170,10159,204812,8725,417276,11111,433876,13590,659770,16687,501658,11441,533283,13702,236309,9240,297264,11632,142689,7535,63028,5330,277276,10452,290114,11713
04000US15,Hawaii,637246,8195,45317,4025,34878,3339,39717,3457,69362,4190,71277,4551,94838,4624,56991,3961,57785,4070,25656,2411,37375,3407,18730,2620,10681,1820,44721,3634,29918,2698
04000US16,Idaho,799102,10051,41300,3225,25770,2672,42919,3489,66307,4641,84517,4713,110397,6036,110881,5063,84823,5028,43475,3333,52360,3988,25076,3051,11713,2193,53578,4050,45986,2916
04000US17,Illinois,5354834,28108,291171,10469,231401,9255,259318,8561,475191,11951,497021,13482,763955,17520,652010,15242,606366,14781,278003,8770,329790,10902,150188,6783,78472,5092,409253,13398,332695,10807
04000US18,Indiana,2989879,20457,193947,8048,143866,7461,172174,8385,256137,7791,295956,9630,409159,9806,355485,10545,294320,8448,135549,7273,155427,7798,79027,5823,42714,4219,216631,8730,239487,9178
04000US19,Iowa,1457641,13610,73771,4627,59240,3092,83860,4286,123030,4795,161378,5425,225257,7934,225171,6818,130211,5478,55603,3878,62512,3923,34036,3296,17669,2505,103391,4728,102512,6181
04000US20,Kansas,1323613,11663,63402,4183,44792,3388,69454,4331,98714,5507,136090,6262,202802,7215,217512,8191,147280,6015,60643,4025,67287,4685,33402,3488,15633,1956,87150,4997,79452,4459
04000US21,Kentucky,1867279,14622,113207,5823,84229,5980,103864,5585,153115,5775,195333,7454,266422,8465,238262,10437,184051,7299,83643,5399,98617,5469,43710,3723,24431,2669,130203,6802,148192,7479
04000US22,Louisiana,1850348,19159,162829,8524,90781,7093,94096,6093,188221,9025,199525,9272,294568,10612,215993,8572,179545,7112,73550,5649,101033,5990,39762,3930,16023,2458,91382,6854,103040,5000
04000US23,Maine,596229,8931,38173,3455,23993,2623,34833,3196,50949,3349,74296,4920,95294,5421,76516,5197,58730,4685,33297,3544,28123,2664,14239,2022,7643,1597,37602,3296,22541,2666
04000US24,Maryland,2635654,18504,148081,8781,120708,7111,124616,7125,233662,9889,237077,9957,364251,14428,278198,9077,329137,11009,174644,7585,218222,10542,79759,5200,40731,4338,155001,8025,131567,6368
04000US25,Massachusetts,3110218,25375,103522,6662,109801,6591,130662,5823,250900,9822,288460,11460,452825,12739,360540,11545,431780,12080,219978,8927,253907,9323,107032,5697,47193,4450,207815,10078,145803,7045
04000US26,Michigan,4159103,19391,218069,7186,168522,6485,215358,7878,320232,10715,366850,10447,551718,13569,498502,10352,460870,10013,239441,8770,280069,9453,138161,6355,69030,4720,349776,11562,282505,8988
04000US27,Minnesota,2516455,14736,124225,5538,96107,4687,123656,5364,198202,6614,267539,7797,371434,9362,356624,9764,259768,8365,121382,5205,145133,6752,65035,4512,33918,3263,205905,7944,147527,6509
04000US28,Mississippi,1187693,15083,75808,4507,50820,4728,69036,5270,130906,7783,140724,7790,205829,8999,145956,7173,97932,5663,34556,3627,52259,5357,21595,3294,11174,2186,74480,4807,76618,5804
04000US29,Missouri,2654112,21724,134940,6949,102086,5961,142713,6397,224268,9870,276981,9109,404628,11333,361455,10796,275139,8889,125632,5650,137030,7418,68954,5372,32657,2997,185820,7905,181809,7793
04000US30,Montana,493140,7788,21613,2370,15441,2074,20514,3024,31634,2305,55194,4411,70981,4453,97779,5007,54359,3700,23329,2022,28271,3232,14276,2005,8353,1645,29102,2850,22294,2499
04000US31,Nebraska,924422,8715,42962,3672,30763,2713,49003,3884,66852,4674,94040,4847,132561,5420,159929,5956,99528,4568,45975,3760,43059,3449,27682,3341,10581,1487,64227,4264,57260,3791
04000US32,Nevada,1365439,12817,112162,6548,65365,4562,67051,5253,124966,8135,113882,6524,166724,8147,123694,6584,125207,6640,62804,4466,88440,6450,46383,4526,28266,3203,125034,7215,115461,5998
04000US33,New Hampshire,632959,7851,34691,3113,25546,3062,28315,2891,55739,4975,66495,4629,96681,6275,84258,4912,69889,4488,34933,3696,36359,3520,17014,2872,10215,2322,43776,3564,29048,3025
04000US34,New Jersey,4030075,22888,154300,7220,126709,7483,159132,8224,325385,11579,371549,10540,571212,15280,474838,13198,563238,13586,307794,9535,340534,11017,129849,7311,52852,4569,243809,9378,208874,10343
04000US35,New Mexico,846938,11398,35171,3486,27675,3403,40056,3867,67540,5064,90353,6608,136433,7383,127387,6073,93617,5624,40984,4677,48433,4043,26728,3554,11305,2103,55122,5569,46134,5585
